Date		Time		Leq
09/11/2018	15:41:23	39.0
09/11/2018	15:41:24	40.0
09/11/2018	15:41:24	39.0
09/11/2018	15:41:25	43.0
09/11/2018	15:41:26	46.0
09/11/2018	15:41:27	43.0
09/11/2018	15:41:27	50.0
09/11/2018	15:41:28	47.0
09/11/2018	15:41:29	45.0
09/11/2018	15:41:29	39.0
09/11/2018	15:41:30	39.0
09/11/2018	15:41:31	39.0
09/11/2018	15:41:32	43.0
09/11/2018	15:41:32	40.0
09/11/2018	15:41:33	42.0
09/11/2018	15:41:34	49.0
09/11/2018	15:41:34	40.0
09/11/2018	15:41:37	40.0
09/11/2018	15:41:38	47.0
09/11/2018	15:41:39	50.0
09/11/2018	15:41:40	39.0
09/11/2018	15:41:40	40.0
09/11/2018	15:41:41	39.0
09/11/2018	15:41:42	39.0
09/11/2018	15:41:43	52.0
09/11/2018	15:41:43	38.0
09/11/2018	15:41:44	44.0
09/11/2018	15:41:45	40.0
09/11/2018	15:41:46	44.0
09/11/2018	15:41:46	39.0
09/11/2018	15:41:47	38.0
09/11/2018	15:41:48	38.0
09/11/2018	15:41:48	44.0
09/11/2018	15:41:49	39.0
09/11/2018	15:41:50	40.0
09/11/2018	15:41:51	42.0
09/11/2018	15:41:51	39.0
09/11/2018	15:41:52	50.0
09/11/2018	15:41:53	46.0
09/11/2018	15:41:54	38.0
09/11/2018	15:41:54	44.0
09/11/2018	15:41:55	50.0
09/11/2018	15:41:56	39.0
09/11/2018	15:41:57	39.0
09/11/2018	15:41:57	51.0
09/11/2018	15:41:58	39.0
09/11/2018	15:41:59	39.0
09/11/2018	15:42:00	40.0
09/11/2018	15:42:00	39.0
09/11/2018	15:42:01	39.0
09/11/2018	15:42:02	39.0
09/11/2018	15:42:02	39.0
09/11/2018	15:42:03	38.0
09/11/2018	15:42:04	49.0
09/11/2018	15:42:05	45.0
09/11/2018	15:42:05	39.0
09/11/2018	15:42:06	51.0
09/11/2018	15:42:07	46.0
09/11/2018	15:42:07	44.0
09/11/2018	15:42:08	43.0
09/11/2018	15:42:09	41.0
09/11/2018	15:42:10	39.0
09/11/2018	15:42:10	39.0
09/11/2018	15:42:11	43.0
09/11/2018	15:42:12	51.0
09/11/2018	15:42:12	43.0
09/11/2018	15:42:13	47.0
09/11/2018	15:42:14	40.0
09/11/2018	15:42:15	39.0
09/11/2018	15:42:15	39.0
09/11/2018	15:42:16	39.0
09/11/2018	15:42:17	40.0
09/11/2018	15:42:18	39.0
09/11/2018	15:42:18	39.0
09/11/2018	15:42:19	39.0
09/11/2018	15:42:20	39.0
09/11/2018	15:42:21	40.0
09/11/2018	15:42:21	39.0
09/11/2018	15:42:22	40.0
09/11/2018	15:42:23	39.0
09/11/2018	15:42:24	40.0
09/11/2018	15:42:24	41.0
09/11/2018	15:42:25	39.0
09/11/2018	15:42:26	39.0
09/11/2018	15:42:26	43.0
09/11/2018	15:42:27	40.0
